1700	300	-278,04	30000	-27804
1800	300	-278,04	30000	-27804
1900	300	-278,04	30000	-27804
2000	300	-280,41	30000	-28041
2100	300	-280,41	30000	-28041
2200	300	-282,67	30000	-28267
2300	300	-282,67	30000	-28267
2400	300	-282,67	30000	-28267
2500	300	-284,89	30000	-28489
2600	300	-284,89	30000	-28489
2700	300	-284,89	30000	-28489
2800	300	-287,06	30000	-28706
2900	300	-287,06	30000	-28706
3000	300	-287,06	30000	-28706
3100	300	-289,08	30000	-28908
3200	300	-289,08	30000	-28908
3300	300	-289,08	30000	-28908
3400	300	-290,8	30000	-29080
3500	300	-290,8	30000	-29080
3600	300	-290,8	30000	-29080
3700	300	-291,25	30000	-29125
3800	300	-291,25	30000	-29125
3900	300	-290,67	30000	-29067
4000	300	-290,67	30000	-29067
4100	300	-290,67	30000	-29067
4200	300	-289,8	30000	-28980
4300	300	-289,8	30000	-28980
4400	300	-289,8	30000	-28980
4500	300	-289,13	30000	-28913
4600	300	-289,13	30000	-28913
4700	300	-289,13	30000	-28913
4800	300	-289,02	30000	-28902
4900	300	-289,02	30000	-28902
5000	300	-289,02	30000	-28902
0	400	-278,32	40000	-27832
100	400	-278,32	40000	-27832
200	400	-277,73	40000	-27773
300	400	-277,73	40000	-27773
400	400	-277,73	40000	-27773
500	400	-276,84	40000	-27684
600	400	-276,84	40000	-27684
700	400	-276,84	40000	-27684
800	400	-276,69	40000	-27669
900	400	-276,69	40000	-27669
1000	400	-276,69	40000	-27669
1100	400	-276,89	40000	-27689
1200	400	-276,89	40000	-27689
1300	400	-276,89	40000	-27689
1400	400	-277,64	40000	-27764
1500	400	-277,64	40000	-27764
1600	400	-279,53	40000	-27953
1700	400	-279,53	40000	-27953
1800	400	-279,53	40000	-27953
1900	400	-281,97	40000	-28197
2000	400	-281,97	40000	-28197
2100	400	-281,97	40000	-28197
2200	400	-284,45	40000	-28445
2300	400	-284,45	40000	-28445
2400	400	-284,45	40000	-28445
2500	400	-286,81	40000	-28681
2600	400	-286,81	40000	-28681
2700	400	-286,81	40000	-28681
2800	400	-289,13	40000	-28913
2900	400	-289,13	40000	-28913
3000	400	-289,13	40000	-28913
3100	400	-290,75	40000	-29075
3200	400	-290,75	40000	-29075
3300	400	-291,31	40000	-29131
3400	400	-291,31	40000	-29131
3500	400	-291,31	40000	-29131
3600	400	-292,24	40000	-29224
3700	400	-292,24	40000	-29224
3800	400	-292,24	40000	-29224
3900	400	-292,59	40000	-29259
4000	400	-292,59	40000	-29259
4100	400	-292,59	40000	-29259
4200	400	-292,12	40000	-29212
4300	400	-292,12	40000	-29212
4400	400	-292,12	40000	-29212
4500	400	-291,39	40000	-29139
4600	400	-291,39	40000	-29139
4700	400	-291,39	40000	-29139
4800	400	-290,66	40000	-29066
4900	400	-290,66	40000	-29066
5000	400	-290,66	40000	-29066
0	500	-279,86	50000	-27986
100	500	-279,86	50000	-27986
200	500	-279,68	50000	-27968
300	500	-279,68	50000	-27968
400	500	-279,68	50000	-27968
500	500	-279,33	50000	-27933
600	500	-279,33	50000	-27933
700	500	-279,33	50000	-27933
800	500	-278,73	50000	-27873
900	500	-278,73	50000	-27873
1000	500	-278,44	50000	-27844
1100	500	-278,44	50000	-27844
1200	500	-278,44	50000	-27844
1300	500	-278,87	50000	-27887
1400	500	-278,87	50000	-27887
1500	500	-278,87	50000	-27887
1600	500	-279,97	50000	-27997
1700	500	-279,97	50000	-27997
1800	500	-279,97	50000	-27997
1900	500	-281,58	50000	-28158
2000	500	-281,58	50000	-28158
2100	500	-281,58	50000	-28158
2200	500	-283,43	50000	-28343
2300	500	-283,43	50000	-28343
2400	500	-283,43	50000	-28343
2500	500	-285,07	50000	-28507
2600	500	-285,07	50000	-28507
2700	500	-285,07	50000	-28507
2800	500	-286,79	50000	-28679
2900	500	-286,79	50000	-28679
3000	500	-288,34	50000	-28834
3100	500	-288,34	50000	-28834
3200	500	-288,34	50000	-28834
3300	500	-289,71	50000	-28971
3400	500	-289,71	50000	-28971
3500	500	-289,71	50000	-28971
3600	500	-290,86	50000	-29086
3700	500	-290,86	50000	-29086
3800	500	-290,86	50000	-29086
3900	500	-291,64	50000	-29164
4000	500	-291,64	50000	-29164
4100	500	-291,64	50000	-29164
4200	500	-291,59	50000	-29159
4300	500	-291,59	50000	-29159
4400	500	-291,59	50000	-29159
4500	500	-291,13	50000	-29113
4600	500	-291,13	50000	-29113
4700	500	-290,65	50000	-29065
4800	500	-290,65	50000	-29065
4900	500	-290,65	50000	-29065
5000	500	-290,07	50000	-29007
0	600	-281,44	60000	-28144
100	600	-281,44	60000	-28144
200	600	-281,06	60000	-28106
300	600	-281,06	60000	-28106
400	600	-281,06	60000	-28106
500	600	-279,74	60000	-27974
600	600	-279,74	60000	-27974
700	600	-279,74	60000	-27974
800	600	-279,22	60000	-27922
900	600	-279,22	60000	-27922
1000	600	-279,59	60000	-27959
1100	600	-279,59	60000	-27959
1200	600	-279,59	60000	-27959
1300	600	-280,4	60000	-28040
1400	600	-280,4	60000	-28040
1500	600	-280,4	60000	-28040
1600	600	-280,89	60000	-28089
1700	600	-280,89	60000	-28089
1800	600	-280,89	60000	-28089
1900	600	-282,05	60000	-28205
2000	600	-282,05	60000	-28205
2100	600	-282,05	60000	-28205
2200	600	-283,81	60000	-28381
2300	600	-283,81	60000	-28381
2400	600	-283,81	60000	-28381
2500	600	-285,41	60000	-28541
2600	600	-285,41	60000	-28541
2700	600	-285,41	60000	-28541
2800	600	-286,79	60000	-28679
2900	600	-286,79	60000	-28679
3000	600	-288,18	60000	-28818
3100	600	-288,18	60000	-28818
3200	600	-288,18	60000	-28818
3300	600	-289,43	60000	-28943
3400	600	-289,43	60000	-28943
3500	600	-289,43	60000	-28943
3600	600	-289,95	60000	-28995
3700	600	-289,95	60000	-28995
3800	600	-289,95	60000	-28995
