0	0	0	-240.19	0	0	-5.226
100	0	0	-240.19	0.418855727675	0	-5.213391512875
200	0	0	-240.19	3.3609578835	0	-4.730128043675
300	0	0	-242.59	2.82154459865	0	-1.225624445725
400	0	0	-242.59	-2.700731808325	0	-1.228587205825
500	0	0	-240.08	-3.38226873095	0	-3.5033456202
600	0	0	-240.08	-1.336058066725	0	-3.39448306545
700	0	0	-240.08	-1.5999783513	0	-3.561633762625
800	0	0	-238.84	-1.6149698827	0	-4.294030611375
900	0	0	-238.84	-1.130207725675	0	-4.13822096065
1000	0	0	-238.84	-1.6576074901	0	-4.377419578525
1100	0	0	-237.46	-1.6539564457	0	-5.15213674445
1200	0	0	-237.46	-1.016164704125	0	-5.25906145485
1300	0	0	-237.46	-1.038308267775	0	-5.356947722875
1400	0	0	-236.63	-0.923275103475	0	-5.727953402275
1500	0	0	-236.63	-0.36643265805	0	-5.935290542
1600	0	0	-236.63	-0.019265218525	0	-5.962215572375
1700	0	0	-236.68	0.11096741335	0	-5.9241228614
1800	0	0	-236.68	0.355109385025	0	-5.900397730925
1900	0	0	-236.68	0.901907711375	0	-5.883900354425
2000	0	0	-237.39	1.305198687475	0	-5.796654133625
2100	0	0	-237.39	1.67694403515	0	-5.40669131175
2200	0	0	-238.54	1.469960451075	0	-4.638750254475
2300	0	0	-238.54	0.9590315613	0	-4.59841268505
2400	0	0	-238.54	1.73646358565	0	-4.31678585655
2500	0	0	-239.83	1.666221594675	0	-3.329550496175
2600	0	0	-239.83	0.740635307775	0	-3.750798564375
2700	0	0	-239.83	1.9176454848	0	-3.6483027466
2800	0	0	-241.1	1.807702111175	0	-2.2032890772
2900	0	0	-241.1	0.222284052475	0	-3.047643771825
3000	0	0	-241.1	0	0	-3.1155
0	100	0	-240.62	0	0.172770235075	-3.843681662675
100	100	0	-240.62	-0.307327778925	0.138482134175	-3.86344580005
200	100	0	-240.37	-0.1010195381	-0.612958791225	-4.093697335075
