0 0 -240.19
100 0 -240.19
200 0 -240.19
300 0 -242.59
400 0 -242.59
500 0 -240.08
600 0 -240.08
700 0 -240.08
800 0 -238.84
900 0 -238.84
1000 0 -238.84
1100 0 -237.46
1200 0 -237.46
1300 0 -237.46
1400 0 -236.63
1500 0 -236.63
1600 0 -236.63
1700 0 -236.68
1800 0 -236.68
1900 0 -236.68
2000 0 -237.39
2100 0 -237.39
2200 0 -238.54
2300 0 -238.54
2400 0 -238.54
2500 0 -239.83
2600 0 -239.83
2700 0 -239.83
2800 0 -241.10
2900 0 -241.10
3000 0 -241.10
0 100 -240.62
100 100 -240.62
200 100 -240.37
300 100 -240.37
400 100 -240.37
500 100 -238.83
600 100 -238.83
700 100 -238.83
800 100 -237.12
900 100 -237.12
1000 100 -237.12
1100 100 -235.67
1200 100 -235.67
1300 100 -235.67
1400 100 -234.83
1500 100 -234.83
1600 100 -234.84
1700 100 -234.84
1800 100 -234.84
1900 100 -235.86
2000 100 -235.86
2100 100 -235.86
2200 100 -237.47
2300 100 -237.47
2400 100 -237.47
2500 100 -239.22
2600 100 -239.22
2700 100 -239.22
2800 100 -240.95
2900 100 -240.95
3000 100 -240.95
0 200 -240.40
100 200 -240.40
200 200 -240.12
300 200 -240.12
400 200 -240.12
500 200 -238.25
600 200 -238.25
700 200 -238.25
800 200 -236.68
900 200 -236.68
1000 200 -234.14
1100 200 -234.14
1200 200 -234.14
1300 200 -232.93
1400 200 -232.93
1500 200 -232.93
1600 200 -233.74
1700 200 -233.74
1800 200 -233.74
1900 200 -234.80
2000 200 -234.80
2100 200 -234.80
2200 200 -235.69
2300 200 -235.69
2400 200 -238.60
2500 200 -238.60
2600 200 -238.60
2700 200 -240.09
2800 200 -240.09
2900 200 -240.09
3000 200 -241.68
0 300 -239.51
100 300 -239.51
200 300 -239.43
300 300 -239.43
400 300 -237.69
500 300 -237.69
600 300 -237.69
700 300 -235.40
800 300 -235.40
900 300 -235.40
1000 300 -233.25
1100 300 -233.25
1200 300 -233.25
1300 300 -231.82
1400 300 -231.82
1500 300 -231.82
1600 300 -231.54
1700 300 -231.54
1800 300 -231.54
1900 300 -232.51
2000 300 -232.51
2100 300 -234.57
2200 300 -234.57
2300 300 -234.57
2400 300 -236.99
2500 300 -236.99
2600 300 -236.99
2700 300 -239.20
2800 300 -239.20
2900 300 -239.20
3000 300 -241.02
0 400 -238.62
100 400 -238.62
200 400 -238.62
300 400 -238.62
400 400 -236.91
500 400 -236.91
600 400 -236.91
700 400 -234.14
800 400 -234.14
900 400 -234.14
1000 400 -231.44
1100 400 -231.44
1200 400 -231.44
1300 400 -229.87
1400 400 -229.87
1500 400 -229.42
1600 400 -229.42
1700 400 -229.42
1800 400 -230.48
1900 400 -230.48
2000 400 -230.48
2100 400 -232.95
2200 400 -232.95
2300 400 -232.95
2400 400 -235.64
2500 400 -235.64
2600 400 -235.64
2700 400 -238.34
2800 400 -238.34
2900 400 -238.34
3000 400 -240.58
0 500 -238.03
100 500 -238.06
200 500 -238.06
300 500 -238.06
400 500 -236.26
500 500 -236.26
600 500 -236.26
700 500 -233.36
800 500 -233.36
900 500 -233.36
1000 500 -230.44
1100 500 -230.44
1200 500 -228.40
1300 500 -228.40
1400 500 -228.40
1500 500 -227.83
1600 500 -227.83
1700 500 -227.83
1800 500 -228.87
1900 500 -228.87
2000 500 -228.87
2100 500 -231.61
2200 500 -231.61
2300 500 -231.61
