0 0 -239.17
100 0 -239.17
200 0 -239.17
300 0 -237.92
400 0 -237.92
500 0 -237.92
600 0 -234.27
700 0 -234.27
800 0 -234.27
900 0 -229.87
1000 0 -229.87
1100 0 -226.42
1200 0 -226.42
1300 0 -226.42
1400 0 -225.61
1500 0 -225.61
1600 0 -225.61
1700 0 -226.76
1800 0 -226.76
1900 0 -226.76
2000 0 -229.89
2100 0 -229.89
2200 0 -229.89
2300 0 -234.14
2400 0 -234.14
2500 0 -234.14
2600 0 -237.68
2700 0 -237.68
2800 0 -240.13
2900 0 -240.13
3000 0 -240.13
0 100 -239.29
100 100 -239.29
200 100 -239.29
300 100 -238.57
400 100 -238.57
500 100 -238.57
600 100 -235.59
700 100 -235.59
800 100 -232.18
900 100 -232.18
1000 100 -232.18
1100 100 -229.40
1200 100 -229.40
1300 100 -229.40
1400 100 -228.49
1500 100 -228.49
1600 100 -228.49
1700 100 -229.34
1800 100 -229.34
1900 100 -229.34
2000 100 -231.75
2100 100 -231.75
2200 100 -231.75
2300 100 -235.13
2400 100 -235.13
2500 100 -238.07
2600 100 -238.07
2700 100 -238.07
2800 100 -240.32
2900 100 -240.32
3000 100 -240.32
0 200 -239.81
100 200 -239.81
200 200 -239.81
300 200 -239.20
400 200 -239.20
500 200 -236.72
600 200 -236.72
700 200 -236.72
800 200 -233.94
900 200 -233.94
1000 200 -233.94
1100 200 -231.74
1200 200 -231.74
1300 200 -231.74
1400 200 -230.87
1500 200 -230.87
1600 200 -230.87
1700 200 -231.49
1800 200 -231.49
1900 200 -231.49
2000 200 -233.44
2100 200 -233.44
2200 200 -236.02
2300 200 -236.02
2400 200 -236.02
2500 200 -238.45
2600 200 -238.45
2700 200 -238.45
2800 200 -240.43
2900 200 -240.43
3000 200 -240.43
0 300 -240.18
100 300 -240.18
200 300 -239.78
300 300 -239.78
400 300 -239.78
500 300 -237.76
600 300 -237.76
700 300 -237.76
800 300 -235.58
900 300 -235.58
1000 300 -235.58
1100 300 -233.63
1200 300 -233.63
